0;0;0;0;land;false;unknown;0
1;236;190;212;land;false;hills;1
2;205;204;143;land;false;marsh;1
3;50;216;246;land;false;plains;1
4;185;149;202;land;false;mountain;1
5;196;115;252;land;false;plains;1
6;68;251;228;land;false;plains;1
7;149;199;191;land;false;plains;1
8;234;224;199;land;false;forest;1
9;198;243;180;land;false;jungle;1
10;89;242;171;land;false;hills;1
11;183;214;241;land;false;forest;1
12;231;199;193;land;false;plains;1
13;178;186;187;land;false;plains;1
14;244;121;180;land;false;plains;1
15;215;108;251;land;false;hills;1
16;143;232;212;land;false;plains;1
17;250;62;200;land;true;marsh;1
18;204;224;85;land;false;hills;1
19;136;239;253;land;false;plains;1
20;240;172;252;land;false;mountain;1
21;211;185;181;land;false;mountain;1
22;166;155;180;land;true;plains;1
23;208;239;107;land;false;plains;1
24;208;231;205;land;false;forest;1
25;222;83;246;land;false;forest;1
26;235;100;228;land;false;plains;1
27;132;209;231;land;false;plains;1
28;104;201;212;land;false;jungle;1
29;187;204;120;land;false;plains;1
30;171;198;235;land;false;plains;1
31;204;135;179;land;false;mountain;1
32;217;104;215;land;false;plains;1
33;212;125;194;land;false;plains;1
34;138;142;224;land;false;marsh;1
35;228;119;233;land;false;forest;1
36;226;232;250;land;false;plains;1
37;221;238;82;land;false;forest;1
38;214;183;153;land;false;plains;1
39;251;219;173;land;false;plains;1
40;246;184;213;land;false;mountain;1
41;234;227;73;land;true;forest;1
42;201;254;72;land;false;forest;1
43;165;225;234;land;false;mountain;1
44;235;196;166;land;true;plains;1
45;191;235;193;land;false;forest;1
46;147;253;159;land;false;plains;1
47;173;248;96;land;true;forest;1
48;138;144;247;land;false;plains;1
49;40;230;235;land;false;hills;1
50;204;178;226;land;false;plains;1
51;249;210;60;land;false;forest;1
52;247;197;234;land;false;plains;1
53;239;193;80;land;false;forest;1
54;176;178;212;land;false;plains;1
55;122;228;213;land;false;plains;1
56;190;99;227;land;false;mountain;1
57;195;137;243;land;false;desert;1
58;200;191;111;land;false;plains;1
59;217;107;188;land;false;plains;1
60;216;249;73;land;false;jungle;1
61;132;235;169;land;false;plains;1
62;180;233;172;land;false;forest;1
63;196;160;215;land;false;mountain;1
64;226;123;233;land;false;plains;1
65;128;196;213;land;false;mountain;1
66;119;223;210;land;false;plains;1
67;212;252;94;land;false;plains;1
68;217;241;93;land;false;forest;1
69;170;140;229;land;false;jungle;1
70;241;67;238;land;false;mountain;1
71;94;213;210;land;false;plains;1
72;248;227;157;land;false;hills;1
73;226;174;200;land;false;forest;1
74;197;164;140;land;false;mountain;1
75;122;165;234;land;true;plains;1
76;210;166;183;land;false;mountain;1
77;231;247;237;land;false;mountain;1
78;235;142;190;land;false;plains;1
79;227;210;130;land;false;mountain;1
80;177;157;243;land;false;plains;1
81;203;230;201;land;false;marsh;1
82;129;240;133;land;false;plains;1
83;248;230;82;land;false;plains;1
84;232;136;218;land;false;hills;1
85;240;250;240;land;false;plains;1
86;234;247;78;land;false;jungle;1
87;155;148;242;land;false;plains;1
88;100;250;226;land;false;plains;1
89;232;125;179;land;false;plains;1
90;233;226;148;land;false;mountain;1
91;99;218;209;land;false;plains;1
92;162;250;159;land;false;plains;1
93;228;161;195;land;false;hills;1
94;188;245;162;land;false;mountain;1
95;120;248;221;land;false;plains;1
96;174;210;171;land;false;plains;1
97;214;187;199;land;false;plains;1
98;38;242;233;land;false;hills;1
99;216;246;84;land;false;urban;1
100;243;222;73;land;false;plains;1
101;219;140;241;land;true;plains;1
102;166;133;205;land;false;marsh;1
103;243;133;125;land;true;mountain;1
104;193;203;243;land;false;mountain;1
105;188;242;103;land;false;plains;1
106;119;233;168;land;false;plains;1
107;160;211;179;land;false;forest;1
